date_id,full_date,year,month,month_name,day_of_week,is_weekend
20150808,2015-08-08,2015,8,August,Saturday,1
20150809,2015-08-09,2015,8,August,Sunday,1
20150810,2015-08-10,2015,8,August,Monday,0
20150814,2015-08-14,2015,8,August,Friday,0
20150815,2015-08-15,2015,8,August,Saturday,1
20150816,2015-08-16,2015,8,August,Sunday,1
20150817,2015-08-17,2015,8,August,Monday,0
20150822,2015-08-22,2015,8,August,Saturday,1
20150823,2015-08-23,2015,8,August,Sunday,1
20150824,2015-08-24,2015,8,August,Monday,0
20150829,2015-08-29,2015,8,August,Saturday,1
20150830,2015-08-30,2015,8,August,Sunday,1
20150912,2015-09-12,2015,9,September,Saturday,1
20150913,2015-09-13,2015,9,September,Sunday,1
20150914,2015-09-14,2015,9,September,Monday,0
20150919,2015-09-19,2015,9,September,Saturday,1
20150920,2015-09-20,2015,9,September,Sunday,1
20150926,2015-09-26,2015,9,September,Saturday,1
20150927,2015-09-27,2015,9,September,Sunday,1
20150928,2015-09-28,2015,9,September,Monday,0
20151003,2015-10-03,2015,10,October,Saturday,1
20151004,2015-10-04,2015,10,October,Sunday,1
20151017,2015-10-17,2015,10,October,Saturday,1
20151018,2015-10-18,2015,10,October,Sunday,1
20151019,2015-10-19,2015,10,October,Monday,0
20151024,2015-10-24,2015,10,October,Saturday,1
20151025,2015-10-25,2015,10,October,Sunday,1
20151031,2015-10-31,2015,10,October,Saturday,1
20151101,2015-11-01,2015,11,November,Sunday,1
20151102,2015-11-02,2015,11,November,Monday,0
20151107,2015-11-07,2015,11,November,Saturday,1
20151108,2015-11-08,2015,11,November,Sunday,1
20151121,2015-11-21,2015,11,November,Saturday,1
20151122,2015-11-22,2015,11,November,Sunday,1
20151123,2015-11-23,2015,11,November,Monday,0
20151128,2015-11-28,2015,11,November,Saturday,1
20151129,2015-11-29,2015,11,November,Sunday,1
20151205,2015-12-05,2015,12,December,Saturday,1
20151206,2015-12-06,2015,12,December,Sunday,1
20151207,2015-12-07,2015,12,December,Monday,0
20151212,2015-12-12,2015,12,December,Saturday,1
20151213,2015-12-13,2015,12,December,Sunday,1
20151214,2015-12-14,2015,12,December,Monday,0
20151219,2015-12-19,2015,12,December,Saturday,1
20151220,2015-12-20,2015,12,December,Sunday,1
20151221,2015-12-21,2015,12,December,Monday,0
20151226,2015-12-26,2015,12,December,Saturday,1
20151228,2015-12-28,2015,12,December,Monday,0
20151229,2015-12-29,2015,12,December,Tuesday,0
20151230,2015-12-30,2015,12,December,Wednesday,0
20160102,2016-01-02,2016,1,January,Saturday,1
20160103,2016-01-03,2016,1,January,Sunday,1
20160112,2016-01-12,2016,1,January,Tuesday,0
20160113,2016-01-13,2016,1,January,Wednesday,0
20160116,2016-01-16,2016,1,January,Saturday,1
20160117,2016-01-17,2016,1,January,Sunday,1
20160118,2016-01-18,2016,1,January,Monday,0
20160123,2016-01-23,2016,1,January,Saturday,1
20160124,2016-01-24,2016,1,January,Sunday,1
20160202,2016-02-02,2016,2,February,Tuesday,0
20160203,2016-02-03,2016,2,February,Wednesday,0
20160206,2016-02-06,2016,2,February,Saturday,1
20160207,2016-02-07,2016,2,February,Sunday,1
20160213,2016-02-13,2016,2,February,Saturday,1
20160214,2016-02-14,2016,2,February,Sunday,1
20160227,2016-02-27,2016,2,February,Saturday,1
20160228,2016-02-28,2016,2,February,Sunday,1
20160301,2016-03-01,2016,3,March,Tuesday,0
20160302,2016-03-02,2016,3,March,Wednesday,0
20160305,2016-03-05,2016,3,March,Saturday,1
20160306,2016-03-06,2016,3,March,Sunday,1
20160312,2016-03-12,2016,3,March,Saturday,1
20160313,2016-03-13,2016,3,March,Sunday,1
20160314,2016-03-14,2016,3,March,Monday,0
20160319,2016-03-19,2016,3,March,Saturday,1
20160320,2016-03-20,2016,3,March,Sunday,1
20160402,2016-04-02,2016,4,April,Saturday,1
20160403,2016-04-03,2016,4,April,Sunday,1
20160409,2016-04-09,2016,4,April,Saturday,1
20160410,2016-04-10,2016,4,April,Sunday,1
20160413,2016-04-13,2016,4,April,Wednesday,0
20160416,2016-04-16,2016,4,April,Saturday,1
20160417,2016-04-17,2016,4,April,Sunday,1
20160418,2016-04-18,2016,4,April,Monday,0
20160419,2016-04-19,2016,4,April,Tuesday,0
20160420,2016-04-20,2016,4,April,Wednesday,0
20160421,2016-04-21,2016,4,April,Thursday,0
20160423,2016-04-23,2016,4,April,Saturday,1
20160424,2016-04-24,2016,4,April,Sunday,1
20160425,2016-04-25,2016,4,April,Monday,0
20160430,2016-04-30,2016,4,April,Saturday,1
20160501,2016-05-01,2016,5,May,Sunday,1
20160502,2016-05-02,2016,5,May,Monday,0
20160507,2016-05-07,2016,5,May,Saturday,1
20160508,2016-05-08,2016,5,May,Sunday,1
