gameweek_id,gameweek_name,deadline_time,finished,is_current,is_next,average_score,highest_score
1,Gameweek 1,2026-08-21 23:00:00+05:30,True,False,False,50,131.0
2,Gameweek 2,2026-08-28 23:00:00+05:30,True,False,False,81,161.0
3,Gameweek 3,2026-09-04 23:00:00+05:30,True,False,False,51,119.0
4,Gameweek 4,2026-09-12 18:00:00+05:30,True,False,False,69,151.0
5,Gameweek 5,2026-09-18 23:00:00+05:30,True,True,False,48,126.0
6,Gameweek 6,2026-10-10 15:30:00+05:30,False,False,True,0,
7,Gameweek 7,2026-10-17 15:30:00+05:30,False,False,False,0,
8,Gameweek 8,2026-10-23 23:00:00+05:30,False,False,False,0,
9,Gameweek 9,2026-10-31 16:30:00+05:30,False,False,False,0,
10,Gameweek 10,2026-11-07 00:00:00+05:30,False,False,False,0,
11,Gameweek 11,2026-11-21 16:30:00+05:30,False,False,False,0,
12,Gameweek 12,2026-11-28 00:00:00+05:30,False,False,False,0,
13,Gameweek 13,2026-12-03 00:00:00+05:30,False,False,False,0,
14,Gameweek 14,2026-12-05 19:00:00+05:30,False,False,False,0,
15,Gameweek 15,2026-12-12 19:00:00+05:30,False,False,False,0,
16,Gameweek 16,2026-12-19 19:00:00+05:30,False,False,False,0,
17,Gameweek 17,2026-12-26 16:30:00+05:30,False,False,False,0,
18,Gameweek 18,2026-12-29 23:30:00+05:30,False,False,False,0,
19,Gameweek 19,2027-01-02 00:00:00+05:30,False,False,False,0,
20,Gameweek 20,2027-01-05 23:30:00+05:30,False,False,False,0,
21,Gameweek 21,2027-01-16 19:00:00+05:30,False,False,False,0,
22,Gameweek 22,2027-01-23 19:00:00+05:30,False,False,False,0,
23,Gameweek 23,2027-01-30 19:00:00+05:30,False,False,False,0,
24,Gameweek 24,2027-02-06 19:00:00+05:30,False,False,False,0,
25,Gameweek 25,2027-02-11 00:00:00+05:30,False,False,False,0,
26,Gameweek 26,2027-02-20 19:00:00+05:30,False,False,False,0,
27,Gameweek 27,2027-02-27 19:00:00+05:30,False,False,False,0,
28,Gameweek 28,2027-03-04 00:00:00+05:30,False,False,False,0,
29,Gameweek 29,2027-03-13 19:00:00+05:30,False,False,False,0,
30,Gameweek 30,2027-03-20 19:00:00+05:30,False,False,False,0,
31,Gameweek 31,2027-04-10 18:00:00+05:30,False,False,False,0,
32,Gameweek 32,2027-04-17 18:00:00+05:30,False,False,False,0,
33,Gameweek 33,2027-04-24 18:00:00+05:30,False,False,False,0,
34,Gameweek 34,2027-05-01 18:00:00+05:30,False,False,False,0,
35,Gameweek 35,2027-05-08 18:00:00+05:30,False,False,False,0,
36,Gameweek 36,2027-05-15 18:00:00+05:30,False,False,False,0,
37,Gameweek 37,2027-05-23 18:00:00+05:30,False,False,False,0,
38,Gameweek 38,2027-05-30 19:00:00+05:30,False,False,False,0,
