player_id,fpl_element_id,fpl_player_code,web_name,full_name,team_id,position_id,price_m,selected_by_percent,status,total_points,minutes,form,points_per_game
1,1,154561,Raya,David Raya Martín,2,1,6.1,42.2,a,30,450,6.0,6.0
2,2,109745,Arrizabalaga,Kepa Arrizabalaga Revuelta,2,1,4.9,0.1,a,0,0,0.0,0.0
3,3,437495,Meslier,Illan Meslier,2,1,4.9,0.0,a,0,0,0.0,0.0
4,4,226597,Gabriel,Gabriel dos Santos Magalhães,2,2,8.0,22.8,a,25,450,5.0,5.0
5,5,445122,J.Timber,Jurriën Timber,2,2,6.5,0.4,a,1,104,0.2,0.5
6,6,462424,Saliba,William Saliba,2,2,5.9,0.2,i,0,0,0.0,0.0
7,7,499169,Lewis-Skelly,Myles Lewis-Skelly,2,3,5.4,0.6,a,9,271,1.5,2.2
8,8,466075,Calafiori,Riccardo Calafiori,2,2,5.8,50.6,a,29,416,5.0,5.8
9,9,448104,Hincapie,Piero Hincapié,2,2,5.2,0.9,a,2,32,0.2,1.0
10,10,198869,White,Benjamin White,2,2,5.5,5.0,d,21,315,2.5,5.2
11,11,500040,Mosquera,Cristhian Mosquera,2,2,5.3,1.7,a,12,168,1.5,6.0
12,12,223340,Saka,Bukayo Saka,2,3,9.5,13.5,a,32,416,5.8,6.4
13,13,204480,Rice,Declan Rice,2,3,7.4,11.9,d,20,411,4.2,4.0
14,14,232413,Eze,Eberechi Eze,2,3,6.3,1.0,a,4,85,0.8,1.0
15,15,184029,Ødegaard,Martin Ødegaard,2,3,6.8,19.8,a,29,377,4.5,5.8
16,16,248857,Madueke,Noni Madueke,2,3,6.2,0.2,a,2,23,0.2,1.0
17,17,195384,Merino,Mikel Merino Zazón,2,3,5.8,0.4,a,4,81,0.8,0.8
18,18,444145,Martinelli,Gabriel Martinelli Silva,2,3,6.3,0.1,u,0,0,0.0,0.0
19,19,481655,Zubimendi,Martín Zubimendi Ibáñez,2,3,5.3,0.6,a,5,89,1.0,1.0
20,20,616077,Dowman,Max Dowman,2,3,5.3,0.1,a,1,9,0.2,1.0
21,21,128295,Nørgaard,Christian Nørgaard,11,3,4.9,0.0,i,0,0,0.0,0.0
22,22,499175,Nwaneri,Ethan Nwaneri,2,3,5.4,0.0,u,0,0,0.0,0.0
23,23,438098,Fábio Vieira,Fábio Ferreira Vieira,2,3,5.5,0.0,u,0,0,0.0,0.0
24,24,200641,Nelson,Reiss Nelson,2,3,5.5,0.0,u,0,0,0.0,0.0
25,25,224117,Gyökeres,Viktor Gyökeres,2,4,7.1,3.1,a,2,29,0.5,1.0
26,26,219847,Havertz,Kai Havertz,2,4,7.6,8.5,a,19,437,3.2,3.8
27,27,205651,G.Jesus,Gabriel Fernando de Jesus,2,4,5.9,0.1,u,0,0,0.0,0.0
28,28,98980,Martinez,Emiliano Martínez Romero,8,1,5.0,4.8,a,9,360,2.2,2.2
29,29,72147,M.Bizot,Marco Bizot,3,1,4.5,0.1,i,1,90,0.0,1.0
30,30,101188,Digne,Lucas Digne,3,2,4.5,0.0,u,0,0,0.0,0.0
31,31,199798,Konsa,Ezri Konsa Ngoyo,2,2,4.6,19.4,a,12,281,3.0,3.0
32,32,199796,Cash,Matty Cash,3,2,4.4,4.9,a,6,296,1.8,1.5
33,33,149484,Mings,Tyrone Mings,3,2,4.5,0.4,a,10,261,2.2,2.5
34,34,244954,Pau,Pau Torres,3,2,4.5,0.3,i,3,187,0.8,1.0
35,35,515597,Bogarde,Lamare Bogarde,3,3,4.9,0.1,a,1,16,0.0,1.0
36,36,441302,Maatsen,Ian Maatsen,3,2,4.4,0.5,i,9,335,2.2,2.2
37,37,184667,Lindelöf,Victor Lindelöf,3,2,4.5,0.3,a,8,450,2.5,1.6
38,38,606798,A.García,Andrés García,3,2,4.0,1.5,a,0,0,0.0,0.0
39,39,578545,Nedeljkovic,Kosta Nedeljkovic,3,2,4.0,0.1,u,0,0,0.0,0.0
40,40,244850,Rogers,Morgan Rogers,8,3,7.7,40.4,a,29,437,5.8,5.8
41,41,195546,Buendía,Emiliano Buendía Stati,3,3,5.9,1.0,a,21,401,4.8,4.2
42,42,485337,Guessand,Evann Guessand,10,3,5.4,0.0,a,2,54,0.2,1.0
43,43,166989,Tielemans,Youri Tielemans,21,3,5.8,1.5,a,14,402,3.0,2.8
44,44,215711,Bailey,Leon Bailey,3,3,5.4,0.1,u,0,0,0.0,0.0
45,45,122806,McGinn,John McGinn,3,3,5.4,2.2,a,17,434,4.0,3.4
46,46,88894,Barkley,Ross Barkley,3,3,5.0,0.3,a,10,308,2.0,2.0
47,47,226944,Kamara,Boubacar Kamara,3,3,5.0,0.3,a,15,443,3.2,3.0
48,48,449871,Onana,Amadou Onana,3,3,4.9,0.0,i,0,0,0.0,0.0
49,49,469247,Iling Jr,Samuel Iling-Junior,3,3,5.0,0.0,u,0,0,0.0,0.0
50,50,645618,Burrowes,Bradley Burrowes,3,3,4.5,0.6,a,0,0,0.0,0.0
51,51,577285,George Hemmings,George Hemmings,3,3,4.5,1.2,a,9,297,1.8,1.8
52,52,653481,Alysson,Alysson Edward Franco da Rocha dos Santos,3,3,5.0,0.0,d,8,87,1.8,2.0
53,53,614071,Manzambi,Johan Manzambi,3,3,5.9,0.4,a,14,98,3.5,7.0
54,54,448089,Gomes,Joao Gomes,3,3,5.5,0.0,a,2,129,1.0,1.0
55,55,178301,Watkins,Ollie Watkins,3,4,7.8,2.5,u,0,0,0.0,0.0
56,56,173879,Abraham,Tammy Abraham,3,4,5.5,0.2,a,4,71,1.0,1.0
57,57,457569,Petrović,Đorđe Petrović,1,1,4.5,3.0,a,9,450,1.8,1.8
58,58,40383,Forster,Fraser Forster,1,1,4.0,3.5,a,0,0,0.0,0.0
59,59,444172,Dennis,Will Dennis,1,1,4.0,0.1,u,0,0,0.0,0.0
60,60,463981,Hill,James Hill,1,2,5.5,0.8,a,12,450,2.8,2.4
61,61,494521,Truffert,Adrien Truffert,1,2,5.4,3.0,a,10,450,2.2,2.0
62,62,242882,Diakité,Bafodé Diakité,1,2,4.9,0.2,a,0,0,0.0,0.0
63,63,620487,Milosavljević,Veljko Milosavljevic,1,2,4.9,0.0,i,0,0,0.0,0.0
64,64,54469,Smith,Adam Smith,1,2,4.5,0.1,a,4,434,0.8,0.8
65,65,436893,J.Araujo,Julián Araujo Zúñiga,1,2,4.4,0.0,i,0,0,0.0,0.0
66,66,575901,Soler,Julio Soler Barreto,1,2,4.0,0.3,a,0,0,0.0,0.0
67,67,499604,Rayan,Rayan Vitor Simplício Rocha,1,3,6.3,1.6,a,10,434,2.0,2.0
68,68,201658,Tavernier,Marcus Tavernier,1,3,6.1,6.7,a,31,424,5.2,6.2
69,69,503139,Scott,Alex Scott,1,3,6.1,5.7,a,30,446,7.0,6.0
70,70,222683,Kluivert,Justin Kluivert,1,3,6.0,0.9,i,15,294,3.0,3.8
71,71,155408,Cook,Lewis Cook,1,3,5.0,0.2,a,8,180,1.2,1.6
72,72,496208,Gannon-Doak,Ben Gannon-Doak,1,3,4.9,0.1,a,4,12,0.8,1.0
73,73,200785,Adams,Tyler Adams,1,3,5.0,0.3,a,12,279,2.8,2.4
74,74,111317,Brooks,David Brooks,1,3,5.0,0.1,a,3,45,0.8,0.8
75,75,158499,Christie,Ryan Christie,1,3,5.0,0.0,a,5,102,1.2,1.2
76,76,614574,Tóth.A,Alex Tóth,1,3,4.9,0.0,a,2,17,0.2,1.0
77,77,489888,Adli,Amine Adli,1,3,4.9,0.0,i,0,0,0.0,0.0
78,78,560262,Kroupi.Jr,Junior Kroupi,1,3,7.4,0.2,i,0,0,0.0,0.0
79,79,444102,Evanilson,Francisco Evanilson de Lima Barbosa,1,4,6.0,3.2,a,18,424,3.5,3.6
80,80,168636,Enes Ünal,Enes Ünal,1,4,5.5,0.0,u,0,0,0.0,0.0
81,81,561245,Rodríguez,Álvaro Rodríguez,1,4,6.0,0.1,a,2,10,0.5,1.0
82,82,200720,Kelleher,Caoimhín Kelleher,4,1,5.0,6.1,a,20,450,3.2,4.0
83,83,507433,Valdimarsson,Hákon Rafn Valdimarsson,4,1,4.5,0.1,a,0,0,0.0,0.0
84,84,432830,Collins,Nathan Collins,4,2,5.4,1.0,i,10,196,1.0,3.3
85,85,444765,Van den Berg,Sepp van den Berg,4,2,4.9,0.1,i,0,0,0.0,0.0
86,86,249231,Lewis-Potter,Keane Lewis-Potter,4,3,5.5,1.7,a,22,406,3.0,4.4
87,87,191866,Ajer,Kristoffer Ajer,4,2,4.5,3.9,a,21,450,3.2,4.2
88,88,607464,Kayode,Michael Kayode,4,2,4.6,7.6,a,23,294,2.5,4.6
89,89,194010,Henry,Rico Henry,4,2,4.4,0.2,a,1,2,0.2,1.0
90,90,472713,Hickey,Aaron Hickey,4,2,4.5,0.1,a,5,152,1.0,1.0
91,91,231065,Pinnock,Ethan Pinnock,9,2,4.5,0.1,a,14,282,3.5,3.5
92,92,570241,Ji-soo,Kim Ji-soo,4,2,4.4,0.0,a,0,0,0.0,0.0
93,93,513086,Schuster,Jannik Schuster,4,2,4.5,0.3,a,21,253,5.2,7.0
94,94,513418,Schade,Kevin Schade,4,3,6.2,10.8,a,39,447,9.0,7.8
95,95,533463,O.Dango,Dango Ouattara,4,3,6.3,0.5,a,7,179,1.0,1.4
96,96,440089,Damsgaard,Mikkel Damsgaard,4,3,5.4,0.4,a,16,283,3.8,3.2
97,97,207283,Jensen,Mathias Jensen,4,3,5.4,0.1,i,6,66,0.0,6.0
98,98,204580,Janelt,Vitaly Janelt,4,3,5.0,2.5,a,28,450,4.8,5.6
99,99,543295,Milambo,Antoni Milambo,4,3,5.0,0.0,i,0,0,0.0,0.0
100,100,244858,Carvalho,Fábio Freitas Gouveia Carvalho,4,3,5.0,0.0,a,6,3,1.5,6.0
101,101,56979,Henderson,Jordan Henderson,8,3,4.9,0.0,a,2,90,0.4,2.0
102,102,508395,Yarmoliuk,Yehor Yarmoliuk,4,3,4.8,0.7,a,9,216,2.0,1.8
103,103,183656,Dasilva,Josh Dasilva,4,3,4.9,0.0,i,0,0,0.0,0.0
104,104,428580,Onyeka,Frank Onyeka,9,3,4.9,0.1,a,9,314,1.8,2.2
105,105,444180,Anthony,Jaidon Anthony,4,3,5.9,0.1,a,15,267,3.5,3.0
106,106,502500,Thiago,Igor Thiago Nascimento Rodrigues,4,4,7.8,9.0,a,10,442,2.5,2.0
107,107,593174,Furo,Kaye Furo,4,4,4.5,0.9,i,0,0,0.0,0.0
108,108,75115,Wilson,Callum Wilson,4,4,5.4,0.3,a,3,13,0.5,1.0
109,109,489639,Verbruggen,Bart Verbruggen,5,1,4.5,21.7,a,23,450,4.2,4.6
110,110,472739,Rushworth,Carl Rushworth,9,1,4.5,0.8,a,16,450,3.8,3.2
