team_id,team_name
1,AFC Bournemouth
2,Arsenal
3,Aston Villa
4,Brentford
5,Brighton & Hove Albion
6,Burnley
7,Cardiff City
8,Chelsea
9,Coventry City
10,Crystal Palace
11,Everton
12,Fulham
13,Huddersfield Town
14,Hull City
15,Ipswich Town
16,Leeds United
17,Leicester City
18,Liverpool
19,Luton Town
20,Manchester City
21,Manchester United
22,Middlesbrough
23,Newcastle United
24,Norwich City
25,Nottingham Forest
26,Sheffield United
27,Southampton
28,Stoke City
29,Sunderland
30,Swansea City
31,Tottenham Hotspur
32,Watford
33,West Bromwich Albion
34,West Ham United
35,Wolverhampton Wanderers
