match_id,season_id,date_id,home_team_id,away_team_id,referee_id,kickoff_time,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,home_points,away_points,total_goals,goal_difference
1,1,20150808,1,3,26,,0,1,A,0,0,D,11,7,2,3,13,13,6,3,3,4,0,0,0,3,1,-1
2,1,20150808,8,30,30,,2,2,D,2,1,H,11,18,3,10,15,16,4,8,1,3,1,0,1,1,4,0
3,1,20150808,11,32,29,,2,2,D,0,1,A,10,11,5,5,7,13,8,2,1,2,0,0,1,1,4,0
4,1,20150808,17,29,22,,4,2,H,3,0,H,19,10,8,5,13,17,6,3,2,4,0,0,3,0,6,2
5,1,20150808,21,31,17,,1,0,H,1,0,H,9,9,1,4,12,12,1,2,2,3,0,0,3,0,1,1
6,1,20150808,24,10,44,,1,3,A,0,1,A,17,11,6,7,14,20,1,4,1,0,0,0,0,3,4,-2
7,1,20150809,2,34,25,,0,2,A,0,1,A,22,8,6,4,12,9,5,4,1,3,0,0,0,3,2,-2
8,1,20150809,23,27,8,,2,2,D,1,1,D,9,15,4,5,9,12,6,6,2,4,0,0,1,1,4,0
9,1,20150809,28,18,6,,0,1,A,0,0,D,7,8,1,3,9,16,3,5,2,4,0,0,0,3,1,-1
10,1,20150810,33,20,27,,0,3,A,0,2,A,9,19,2,7,12,9,6,6,4,1,0,0,0,3,3,-3
11,1,20150814,3,21,27,,0,1,A,0,1,A,5,9,1,2,14,10,3,5,2,2,0,0,0,3,1,-1
12,1,20150815,27,11,30,,0,3,A,0,2,A,17,10,4,4,11,10,9,9,4,2,0,0,0,3,3,-3
13,1,20150815,29,24,19,,1,3,A,0,2,A,6,19,2,6,7,7,6,6,1,2,0,0,0,3,4,-2
14,1,20150815,30,23,29,,2,0,H,1,0,H,19,4,6,2,11,8,4,4,2,1,0,1,3,0,2,2
15,1,20150815,31,28,39,,2,2,D,2,0,H,13,16,7,7,15,11,4,3,2,2,0,0,1,1,4,0
16,1,20150815,32,33,36,,0,0,D,0,0,D,16,6,5,0,13,10,2,4,1,2,0,0,1,1,0,0
17,1,20150815,34,17,6,,1,2,A,0,2,A,10,11,3,6,11,12,8,4,1,3,1,0,0,3,3,-1
18,1,20150816,10,2,22,,1,2,A,1,1,D,11,20,4,7,14,12,6,6,1,1,0,0,0,3,3,-1
19,1,20150816,20,8,25,,3,0,H,1,0,H,18,10,8,3,19,13,5,1,4,2,0,0,3,0,3,3
20,1,20150817,18,1,8,,1,0,H,1,0,H,18,13,2,2,11,18,6,8,1,4,0,0,3,0,1,1
21,1,20150822,10,3,21,,2,1,H,0,0,D,16,11,6,2,12,15,6,4,3,3,0,0,3,0,3,1
22,1,20150822,17,31,25,,1,1,D,0,0,D,13,19,2,6,7,14,2,7,1,4,0,0,1,1,2,0
23,1,20150822,21,23,8,,0,0,D,0,0,D,20,7,8,0,15,11,11,5,2,2,0,0,1,1,0,0
24,1,20150822,24,28,27,,1,1,D,1,1,D,21,6,7,1,16,5,9,0,4,1,0,0,1,1,2,0
25,1,20150822,29,30,32,,1,1,D,0,1,A,10,20,2,9,16,9,3,4,4,2,0,0,1,1,2,0
26,1,20150822,34,1,17,,3,4,A,0,2,A,10,15,4,7,8,11,5,4,0,0,1,0,0,3,7,-1
27,1,20150823,11,20,6,,0,2,A,0,0,D,10,16,1,9,5,7,8,7,0,3,0,0,0,3,2,-2
28,1,20150823,32,27,4,,0,0,D,0,0,D,13,14,0,5,10,11,5,2,0,2,0,0,1,1,0,0
29,1,20150823,33,8,26,,2,3,A,1,3,A,15,15,6,5,9,12,8,7,2,1,0,1,0,3,5,-1
30,1,20150824,2,18,30,,0,0,D,0,0,D,19,15,5,8,2,13,7,8,1,4,0,0,1,1,0,0
31,1,20150829,1,17,32,,1,1,D,1,0,H,5,4,2,2,9,19,4,4,2,4,0,0,1,1,2,0
32,1,20150829,3,29,39,,2,2,D,2,1,H,21,7,6,3,10,14,5,4,2,1,0,0,1,1,4,0
33,1,20150829,8,10,8,,1,2,A,0,0,D,26,13,9,6,9,15,7,7,1,1,0,0,0,3,3,-1
34,1,20150829,18,34,19,,0,3,A,0,2,A,13,12,1,5,17,11,5,7,3,1,1,1,0,3,3,-3
35,1,20150829,20,32,26,,2,0,H,0,0,D,18,7,5,0,9,12,9,3,1,2,0,0,3,0,2,2
36,1,20150829,23,2,4,,0,1,A,0,0,D,1,22,0,9,15,8,0,9,6,1,1,0,0,3,1,-1
37,1,20150829,28,33,30,,0,1,A,0,1,A,13,15,5,5,4,9,6,5,1,4,2,0,0,3,1,-1
38,1,20150829,31,11,29,,0,0,D,0,0,D,20,8,6,3,20,9,6,2,4,1,0,0,1,1,0,0
39,1,20150830,27,24,17,,3,0,H,1,0,H,23,6,8,1,4,12,6,4,0,0,0,1,3,0,3,3
40,1,20150830,30,21,25,,2,1,H,0,0,D,9,11,4,4,6,15,0,1,2,2,0,0,3,0,3,1
41,1,20150912,2,28,17,,2,0,H,1,0,H,29,9,12,4,6,13,13,1,1,1,0,0,3,0,2,2
42,1,20150912,10,20,29,,0,1,A,0,0,D,10,21,2,7,13,13,4,4,2,3,0,0,0,3,1,-1
43,1,20150912,11,8,4,,3,1,H,2,1,H,14,15,9,2,12,12,7,14,2,2,0,0,3,0,4,2
44,1,20150912,21,18,30,,3,1,H,0,0,D,9,8,3,4,6,11,4,4,1,2,0,0,3,0,4,2
45,1,20150912,24,1,25,,3,1,H,1,0,H,12,7,4,2,10,11,4,4,2,3,0,0,3,0,4,2
46,1,20150912,32,30,39,,1,0,H,0,0,D,17,8,6,3,11,14,1,3,1,1,1,0,3,0,1,1
47,1,20150912,33,27,42,,0,0,D,0,0,D,8,14,1,4,5,5,4,5,1,0,0,0,1,1,0,0
48,1,20150913,17,3,27,,3,2,H,0,1,A,21,11,6,4,8,13,4,5,2,1,0,0,3,0,5,1
49,1,20150913,29,31,8,,0,1,A,0,0,D,12,15,2,4,11,12,6,8,2,1,0,0,0,3,1,-1
50,1,20150914,34,23,6,,2,0,H,1,0,H,17,14,3,4,8,11,6,7,0,2,0,0,3,0,2,2
51,1,20150919,1,29,19,,2,0,H,2,0,H,15,9,5,2,14,15,7,3,2,4,0,1,3,0,2,2
52,1,20150919,3,33,25,,0,1,A,0,1,A,13,11,3,6,10,11,2,7,2,3,0,0,0,3,1,-1
53,1,20150919,8,2,27,,2,0,H,0,0,D,22,9,7,2,12,11,5,5,3,1,0,2,3,0,2,2
54,1,20150919,20,34,39,,1,2,A,1,2,A,27,6,8,3,10,7,16,3,1,2,0,0,0,3,3,-1
55,1,20150919,23,32,37,,1,2,A,0,2,A,15,13,5,4,8,12,5,5,1,2,0,0,0,3,3,-1
56,1,20150919,28,17,4,,2,2,D,2,0,H,11,12,4,5,7,12,3,4,1,4,0,0,1,1,4,0
57,1,20150919,30,11,42,,0,0,D,0,0,D,12,17,3,2,12,11,2,4,2,2,0,1,1,1,0,0
58,1,20150920,18,24,6,,1,1,D,0,0,D,23,7,7,2,4,13,6,2,1,2,0,0,1,1,2,0
59,1,20150920,27,21,26,,2,3,A,1,1,D,15,10,8,3,6,13,5,5,2,0,0,0,0,3,5,-1
60,1,20150920,31,10,30,,1,0,H,0,0,D,22,12,6,4,9,11,6,5,1,2,0,0,3,0,1,1
